"PI_ID","PI_PT_ID","PI_PO_ID","PI_PO_MEUBLE","PI_PSO_ID","PI_DEV","PI_OWNER_ID","PI_TITLE","PI_ALIAS","PI_CONTENT","PI_ADDRESS","PI_ZIPCODE","PI_CITY_ID","PI_DELEG_ID","PI_COUNTRY_ID","PI_DATE_INJECT","PI_ATTR_FLOOR","PI_ATTR_LIVING","PI_ATTR_BED","PI_ATTR_BATH","PI_ATTR_BALC","PI_ATTR_PARKING","PI_ATTR_SURFACE","PI_PRICE_TND","PI_PRICE_DOLLAR","PI_DISPLAY"
"25001","1","2","0","2","0","101","Appartement S3 Haut Standing à Ain Zaghouan Nord ","25001-appartement-s3-haut-standing-a-ain-zaghouan-nord","CLÉ D'OR IMMOBILIER met en location
Cet appartement est situé dans une résidence privée sécurisée.
L’architecture a été élaborée de façon à respecter les meilleures conditions de confort, de commodité et de sécurité.
L'entrée donne sur un hall. Il dessert la pièce de vie. Son volume généreux permet d'aménager un salon et une salle à manger. Elle est lumineuse grâce à la diversité de ses baies vitrées offrant une vue sur le balcon.
La cuisine agencée et entièrement équipée d'une plaque et d'une hotte, d'un four. Une salle de d'eau est à disposition.
La partie nuit dispose de deux chambres à coucher et une suite parentale avec son propre dressing et sa propre salle de douche.
Une place de parking est réservée au sous-sol pour les futures locataires.

","Ain Zaghouan Nord ","2045","1","28","1","2024-03-24 22:37:09","1","1","3","3","1","1","170.00","1800","0","1"
"25002","3","2","0","2","0","101","Duplex S3 avec Suite à Lac2","25002-duplex-s3-avec-suite-a-lac2","CLÉ D'OR IMMOBILIER met en location
Ce duplex se situe au rez-de-chaussée d'une résidence gardée et sécurisée au plein cœur du Berges du lac 2.
L'entrée dessert un grand salon revêtu de marbre, lumineux grâce à ses ouvertures qui donnent accès à une véranda et un jardin.
La cuisine est équipée d'une hotte aspirante, d'un four électrique et d'une plaque chauffante et aménagée par des éléments de rangements.
Une salle d'eau pour les invités complète la partie jour.
Le compartiment nuit loge trois chambres à coucher deux parmis eux sont menus de dressing et une salle de bain et un suite parentale .
Le chauffage est central et la climatisation est en Split System.
deux places de parking et accès au sous-sol.","Lac 2 Residence kinza prés de emb Égypte","1053","1","11","1","2024-05-15 16:42:23","2","1","3","2","1","1","228.00","4500","0","1"
"25003","5","2","0","2","0","101","Local commercial LAC2","25003-local-commercial-lac2","Vous êtes à la recherche d’un bureau, siège, show room, pour la location .
CLÉ D'OR IMMOBILIER met en location:
Ce local est doté d’un emplacement premium dans un quartier d’Affaire le plus connu, dynamique et prestigieux à Tunis « Les berges du lac2 ».
Ce local est sur deux niveaux en open space  :
- Superficie de 450m²
- Revêtement au sol
- Eclairage


","Residence Emraude du lac2 ","1053","1","11","1","2024-05-16 15:55:31","2","0","0","1","0","2","450.00","5500","0","1"
"25004","1","2","1","2","0","101","Appartement S3 à Lac2","25004-appartement-s3-a-lac2","CLÉ D'or immobilier met en location
Cet appartement est situé dans une résidence caractérisée par son emplacement stratégique à Lac2
L'entrée donne sur une pièce de vie. Cette dernière est soigneusement meublée avec un grand salon et une salle à manger. Elle est lumineuse grâce à ses ouvertures bien entretenue. La cuisine est agencée et bien équipée avec tous les ustensiles nécessaires à la vie quotidienne. Elle se complète par un séchoir exploitable. Une salle d'eau est pensée pour les invités dans cette partie jour.
La partie nuit se compose de deux chambres à coucher avec deux lits et dressing chacune et une chambre parentale qui munie de son propre dressing. Elles se partagent une salle de bain commune.","Résidence Cyclamen 2éme étage du lac2","1053","1","11","1","2024-05-16 18:02:45","1","1","3","2","1","0","120.00","3000","0","1"
"25005","3","2","0","2","0","101","Duplex S3 à Sidi Daoued","25005-duplex-s3-a-sidi-daoued","CLÉ D'or IMMOBILIER met en location
Ce duplex possède une entrée indépendante. Il est situé à Sidi Daoued.
L'entrée principale mène vers le grand salon. Dans la continuité une cuisine équipée (plaque de cuisson, four électrique, hôte aspirante) et aménagée par des d'éléments de rangement.Ce compartiment comprend un point d’eau pour les invités.
La partie nuit abrite deux chambres à coucher avec dressing et suite parental. ils partagent une salle de bain commune.
Ce duplex est équipé d’une climatisation en split et du chauffage central.
A l'extérieur il y a une jardin et un garage pour deux voitures.","Sidi daoued la Marsa","2045","1","1","1","2024-05-16 18:44:50","2","1","3","2","2","2","160.00","3300","0","1"
"25006","1","2","0","2","0","101","Appartement S3 Haut Standing à jardins de carthage","25006-appartement-s3-haut-standing-a-jardins-carthage","CLÉ D'OR IMMOBILIER met en location
Cet appartement occupe le 2ème étage d'une résidence situé dans un quartier résidentiel. L'entrée donne sur une pièce de vie .Cette pièce jouit de la luminosité naturelle grâce à un balcon trés spacieux. La cuisine agencée est équipée par une hotte aspirante, une plaque de cuisson et d'un four électrique. Dans la continuité, Un hall aménagée avec un dressing pour plus de fonctionnalité. La partie nuit loge deux chambres à coucher, dont chacune est équipée par un dressing et une suite parentale. Une salle de bain est à disposition. L'appartement est équipé d'un chauffage central et climatisation centrale et a split systéme dans les chambres et la cuisine.tt","2ème étage Résidance Carthage JDC","1090","1","18","1","2024-05-27 10:24:23","1","1","3","2","1","1","181.00","2800","0","1"
"25007","1","2","1","2","0","101","Appartement S1 à Jardins de Carthage","25007-appartement-s1-a-jardins-carthage","CLÉ D'OR IMMOBILIER met en location
Cet appartement occupe le 3ème étage d'une résidence gardée, Il se distingue par son emplacement. Il est proche de tout commerce. La pièce de réception offre un espace de vie convivial revêtu en grès à la masse qui donne accès sur le balcon. La cuisine est agencée et équipée par une plaque de cuisson, une hotte aspirante, et un four électrique, Un hall aménagée avec un dressing pour plus de fonctionnalité, La partie nuit loge une chambre à coucher avec dressing. Une salle d'eau avec cabine de douche. L'appartement est équipé d'un chauffage central et climatisation a split systém.","J,C Résidance Carthage ","1090","1","18","1","2024-05-29 12:59:01","1","1","1","1","1","1","75.00","1500","0","1"
"25008","1","1","0","1","0","101","Appartement en S+2 aux Jardins de Carthage","25008-appartement-en-s-2-aux-jardins-carthage","CLÉ D'OR IMMOBILIER met en vente
Cet appartement jamais habité, est situé dans une résidence équipée d'un ascenseur. Il se trouve au deuxiéme étage. L'entrée donne sur un salon avec accès à un balcon qui illumine la pièce. La cuisine aménagée et équipée d'une plaque de cuisson, d'une hotte aspirante et d'un four électrique. La partie nuit comprend deux chambres à coucher, Elles se partagent une salle de bain avec baignoire. L'appartement est équipé de chauffage central et de la climatisation à système split.","Résidance Carthage, les Jardins de Carthage , Le Kram ","1090","1","18","1","2024-05-30 10:28:51","1","1","2","1","1","1","100.50","552000","0","1"
"25009","1","2","0","2","0","101","Appartement S+3 au Lac2","25009-appartement-s-3-lac2","CLÉ D'OR IMMOBILIER met en location
Cet appartement meublé est situé au première étage d'une résidence gardée et sécurisée au plein cœur du Berges du lac 2.
L'entrée dessert un grand salon et une salle à manger revêtus de marbre rose et lumineux grâce à des ouvertures qui donne sur une terrasse.
La cuisine est équipée d'une hotte aspirante, d'un four électrique, d'une plaque chauffante et aménagée par des éléments de rangements. Elle est annexée par une séchoir.
Une salle d'eau pour invités complète la partie jour.
Le compartiment nuit loge trois chambres à coucher munis de dressing et salle de bain.
Le chauffage est central et la climatisation est en Split System. Une place de parking est à disposition.","Residence Ines 1er étage du lac2 ","1053","1","11","1","2024-05-30 10:47:45","1","1","3","2","2","1","120.00","4200","0","1"
"25010","5","2","0","2","0","101","3 bureaux au Lac2","25010-3-bureaux-lac2","CLE D'OR IMMOBILIER met en location
Cet espace de travail est stratégiquement situé au troisième étage d'une résidence exclusivement réservée à un usage de bureau. L'entrée principale donne accès à une pièce de réception chaleureuse, créant une première impression professionnelle pour vos visiteurs. Trois bureaux offrant un cadre propice à la concentration et à la productivité. deux salles d'eau est également disponible pour votre confort et celui de votre équipe.Aussi une kitchenette.
Pour faciliter les déplacements, une place de parking dédiée est prévue au sous-sol, assurant ainsi une commodité supplémentaire pour vous et vos collaborateurs.","Residence eya 3émme étage du lac2 ","1053","1","11","1","2024-05-30 10:58:17","1","1","3","2","0","1","430.00","11000","0","1"
